epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,6176.72,1.15908,0.60388,1.09511,0.89105,0.83204,0.89131,0.60876,1.24368,0.63349,1.18196,0.000957358,0.000957358,0.000957358
88,6247.62,1.11648,0.59984,1.09688,0.86795,0.83451,0.88431,0.60139,1.24097,0.68749,1.18804,0.000949106,0.000949106,0.000949106
89,6318.52,1.11829,0.60467,1.09536,0.87466,0.84743,0.89444,0.61159,1.24585,0.64358,1.19324,0.000940855,0.000940855,0.000940855
90,6389.4,1.16731,0.60537,1.09951,0.84991,0.84286,0.88343,0.59145,1.30455,0.67309,1.21773,0.000932603,0.000932603,0.000932603
91,6460.38,1.18348,0.61926,1.09753,0.84758,0.84434,0.87886,0.57425,1.35703,0.7092,1.21917,0.000924352,0.000924352,0.000924352
92,6531.28,1.13383,0.60747,1.09002,0.8677,0.84455,0.89174,0.61063,1.26124,0.64962,1.19899,0.0009161,0.0009161,0.0009161
93,6602.2,1.09749,0.58208,1.07671,0.85387,0.84103,0.88287,0.58442,1.35312,0.70047,1.23297,0.000907848,0.000907848,0.000907848
94,6673.13,1.10571,0.59926,1.07129,0.85153,0.83568,0.88372,0.59485,1.30109,0.64855,1.22055,0.000899597,0.000899597,0.000899597
95,6744.08,1.14719,0.60057,1.08842,0.87205,0.83194,0.89259,0.60645,1.26616,0.65439,1.20521,0.000891345,0.000891345,0.000891345
96,6815.01,1.12588,0.59148,1.07709,0.88575,0.8454,0.89628,0.61248,1.24561,0.62724,1.18688,0.000883093,0.000883093,0.000883093
97,6885.95,1.11892,0.579,1.06777,0.88746,0.8435,0.88843,0.60176,1.27289,0.63053,1.19524,0.000874842,0.000874842,0.000874842
98,6956.87,1.07827,0.57278,1.06228,0.8681,0.82042,0.88381,0.59982,1.28113,0.65895,1.20911,0.00086659,0.00086659,0.00086659
99,7027.85,1.11886,0.5719,1.0834,0.89154,0.84548,0.89374,0.61036,1.2383,0.62478,1.18426,0.000858338,0.000858338,0.000858338
100,7098.76,1.09667,0.58251,1.07627,0.87092,0.84192,0.88834,0.61243,1.22856,0.62466,1.1801,0.000850087,0.000850087,0.000850087
101,7169.74,1.07671,0.56819,1.05203,0.86848,0.83096,0.88499,0.60047,1.26774,0.66404,1.2046,0.000841835,0.000841835,0.000841835
102,7240.64,1.0866,0.5787,1.06406,0.86129,0.84431,0.88957,0.60578,1.26436,0.65421,1.20429,0.000833583,0.000833583,0.000833583
103,7311.64,1.16956,0.59601,1.10179,0.88037,0.84327,0.89356,0.60638,1.25242,0.62487,1.195,0.000825332,0.000825332,0.000825332
104,7382.54,1.12733,0.58657,1.09251,0.88392,0.83616,0.88844,0.59551,1.2664,0.62051,1.19986,0.00081708,0.00081708,0.00081708
105,7453.45,1.11696,0.57975,1.09135,0.88825,0.83216,0.8889,0.60349,1.26806,0.62678,1.19416,0.000808828,0.000808828,0.000808828
