epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,628.7,1.40276,0.90845,1.09466,0.85422,0.80147,0.8659,0.55438,1.26577,0.80569,1.06582,0.00121316,0.00121316,0.00121316
57,639.714,1.3728,0.86768,1.0912,0.8502,0.819,0.86998,0.56162,1.2474,0.79049,1.06821,0.00120491,0.00120491,0.00120491
58,650.722,1.36904,0.89951,1.10226,0.86703,0.79911,0.86804,0.5619,1.22797,0.78834,1.06491,0.00119666,0.00119666,0.00119666
59,661.707,1.35896,0.88131,1.0983,0.87151,0.79231,0.86801,0.55792,1.23812,0.77718,1.06779,0.0011884,0.0011884,0.0011884
60,672.709,1.34728,0.87849,1.08274,0.87192,0.78766,0.86729,0.5628,1.24611,0.79007,1.06701,0.00118015,0.00118015,0.00118015
61,683.788,1.37683,0.88016,1.09066,0.83184,0.78422,0.84199,0.53384,1.30412,0.86589,1.08474,0.0011719,0.0011719,0.0011719
62,694.823,1.34,0.87286,1.0856,0.85615,0.77104,0.8545,0.53276,1.32964,0.81927,1.10033,0.00116365,0.00116365,0.00116365
63,705.814,1.36532,0.8642,1.09251,0.86285,0.7899,0.86672,0.56482,1.25586,0.7885,1.06857,0.0011554,0.0011554,0.0011554
64,716.787,1.3563,0.86904,1.10075,0.8538,0.7907,0.85471,0.53633,1.33526,0.82492,1.09544,0.00114715,0.00114715,0.00114715
65,727.754,1.35306,0.85585,1.08715,0.87132,0.80212,0.85757,0.55509,1.22719,0.77547,1.05516,0.00113889,0.00113889,0.00113889
66,738.784,1.3667,0.8702,1.09628,0.82343,0.7904,0.84697,0.54605,1.2608,0.86212,1.07451,0.00113064,0.00113064,0.00113064
67,749.806,1.34948,0.86057,1.08335,0.87678,0.79875,0.85501,0.53767,1.31837,0.80415,1.08725,0.00112239,0.00112239,0.00112239
68,760.803,1.33,0.84947,1.07975,0.84149,0.78538,0.85371,0.53296,1.3221,0.84577,1.09102,0.00111414,0.00111414,0.00111414
69,771.812,1.32342,0.8381,1.08029,0.85512,0.79652,0.85977,0.55427,1.27739,0.784,1.07361,0.00110589,0.00110589,0.00110589
70,782.817,1.33384,0.84378,1.08333,0.84058,0.79733,0.84417,0.54593,1.26724,0.79889,1.06814,0.00109764,0.00109764,0.00109764
71,793.805,1.33007,0.8327,1.08216,0.8497,0.81185,0.86065,0.5498,1.26208,0.76988,1.06952,0.00108938,0.00108938,0.00108938
72,804.781,1.32362,0.84022,1.07732,0.84105,0.79008,0.84811,0.54698,1.2859,0.78192,1.07588,0.00108113,0.00108113,0.00108113
73,815.789,1.33754,0.83683,1.08616,0.83574,0.79727,0.85562,0.54189,1.29197,0.80179,1.08606,0.00107288,0.00107288,0.00107288
74,826.855,1.31559,0.82657,1.06458,0.83179,0.8113,0.86632,0.56803,1.22504,0.77114,1.0661,0.00106463,0.00106463,0.00106463
75,837.879,1.30966,0.82984,1.07583,0.87254,0.78547,0.86203,0.55623,1.28873,0.78312,1.08436,0.00105638,0.00105638,0.00105638
76,848.867,1.34874,0.84952,1.09329,0.8624,0.79092,0.86327,0.54831,1.30652,0.79149,1.08558,0.00104813,0.00104813,0.00104813
77,859.871,1.35757,0.84279,1.09775,0.82599,0.78133,0.8403,0.52908,1.28531,0.87127,1.07531,0.00103987,0.00103987,0.00103987
78,870.853,1.3535,0.84756,1.09117,0.87105,0.79771,0.86934,0.569,1.22918,0.77426,1.05543,0.00103162,0.00103162,0.00103162
79,881.883,1.33963,0.84104,1.07949,0.86084,0.81626,0.86989,0.57026,1.22943,0.75616,1.06234,0.00102337,0.00102337,0.00102337
80,892.898,1.30948,0.82645,1.06962,0.85641,0.82412,0.86827,0.57151,1.21458,0.73406,1.06012,0.00101512,0.00101512,0.00101512
81,903.959,1.31204,0.80865,1.05931,0.85202,0.79496,0.86716,0.57003,1.22186,0.74055,1.0638,0.00100687,0.00100687,0.00100687
82,915.007,1.34572,0.83172,1.07927,0.84821,0.80522,0.86285,0.54865,1.3075,0.79678,1.08793,0.000998616,0.000998616,0.000998616
83,926.062,1.30697,0.81394,1.06129,0.84478,0.82103,0.86669,0.55793,1.25634,0.78515,1.06691,0.000990365,0.000990365,0.000990365
84,937.084,1.33026,0.82534,1.07537,0.86112,0.80175,0.87058,0.56812,1.23359,0.76534,1.05584,0.000982113,0.000982113,0.000982113
85,948.092,1.31995,0.82193,1.08305,0.84276,0.81735,0.87065,0.57163,1.22159,0.76759,1.0558,0.000973861,0.000973861,0.000973861
86,959.195,1.34766,0.81442,1.07041,0.83533,0.79082,0.84815,0.53511,1.31061,0.79665,1.08269,0.00096561,0.00096561,0.00096561
87,970.191,1.31171,0.8163,1.0606,0.85574,0.80054,0.86508,0.56105,1.22303,0.76711,1.06011,0.000957358,0.000957358,0.000957358
88,981.138,1.29064,0.81591,1.07669,0.88324,0.79604,0.87442,0.57924,1.18283,0.7254,1.04808,0.000949106,0.000949106,0.000949106
89,992.193,1.27846,0.79369,1.06711,0.86907,0.81509,0.87281,0.57148,1.24136,0.73835,1.0621,0.000940855,0.000940855,0.000940855
90,1003.14,1.30322,0.79715,1.07377,0.87941,0.81445,0.87624,0.57731,1.21665,0.73532,1.05719,0.000932603,0.000932603,0.000932603
91,1014.14,1.33158,0.82182,1.07244,0.82476,0.79947,0.86079,0.55372,1.2412,0.79332,1.06337,0.000924352,0.000924352,0.000924352
92,1025.13,1.29749,0.81739,1.06552,0.87841,0.80622,0.87656,0.56832,1.26013,0.76006,1.05828,0.0009161,0.0009161,0.0009161
93,1036.14,1.31462,0.80268,1.06785,0.85216,0.81427,0.86198,0.57506,1.21262,0.73694,1.0539,0.000907848,0.000907848,0.000907848
94,1047.16,1.30348,0.79855,1.07035,0.81573,0.81761,0.86003,0.55652,1.26508,0.75908,1.07636,0.000899597,0.000899597,0.000899597
95,1058.15,1.33865,0.81005,1.07813,0.85211,0.79188,0.86918,0.5614,1.2488,0.76652,1.0649,0.000891345,0.000891345,0.000891345
96,1069.13,1.30107,0.78773,1.06149,0.87533,0.80974,0.86883,0.57281,1.20525,0.73393,1.04894,0.000883093,0.000883093,0.000883093
97,1080.15,1.27677,0.78289,1.05219,0.85247,0.80116,0.86523,0.56703,1.21665,0.75136,1.06215,0.000874842,0.000874842,0.000874842
98,1091.17,1.27096,0.77763,1.05167,0.85014,0.81081,0.86474,0.56685,1.24658,0.7531,1.06704,0.00086659,0.00086659,0.00086659
99,1102.16,1.29301,0.79017,1.06058,0.85044,0.7995,0.86566,0.56051,1.26299,0.74097,1.06997,0.000858338,0.000858338,0.000858338
100,1113.16,1.26147,0.77348,1.04761,0.86039,0.80894,0.87579,0.57601,1.20884,0.72424,1.05179,0.000850087,0.000850087,0.000850087
101,1124.16,1.24856,0.77718,1.04479,0.85522,0.81368,0.87778,0.57854,1.2019,0.73467,1.04558,0.000841835,0.000841835,0.000841835
102,1135.12,1.29696,0.79205,1.0624,0.86801,0.8151,0.87984,0.57606,1.21956,0.72861,1.05854,0.000833583,0.000833583,0.000833583
103,1146.13,1.25112,0.77608,1.05221,0.87017,0.79494,0.86645,0.5745,1.21494,0.71806,1.06028,0.000825332,0.000825332,0.000825332
104,1157.1,1.25651,0.77292,1.05391,0.86763,0.81315,0.87197,0.57937,1.19642,0.7126,1.05032,0.00081708,0.00081708,0.00081708
105,1168.09,1.24257,0.75478,1.05027,0.84124,0.8261,0.87616,0.57488,1.20396,0.71889,1.05083,0.000808828,0.000808828,0.000808828
106,1179.07,1.27648,0.7668,1.05964,0.83906,0.82469,0.86716,0.57218,1.21287,0.72722,1.05268,0.000800577,0.000800577,0.000800577
107,1190.11,1.26039,0.77095,1.04247,0.85756,0.81475,0.8693,0.56604,1.23288,0.75962,1.05783,0.000792325,0.000792325,0.000792325
108,1201.09,1.27408,0.76032,1.05379,0.87443,0.81013,0.86905,0.57194,1.22778,0.72174,1.05646,0.000784073,0.000784073,0.000784073
109,1212.05,1.27902,0.77673,1.05584,0.86708,0.79503,0.86349,0.57024,1.22165,0.71811,1.05574,0.000775822,0.000775822,0.000775822
110,1223.05,1.26637,0.76266,1.05632,0.85766,0.79377,0.86577,0.57199,1.2141,0.72777,1.05168,0.00076757,0.00076757,0.00076757
111,1234.03,1.24239,0.75863,1.04189,0.85661,0.80768,0.87689,0.58736,1.18671,0.72007,1.04945,0.000759318,0.000759318,0.000759318
112,1245.04,1.22685,0.75053,1.03723,0.84826,0.82456,0.8768,0.57493,1.21787,0.71029,1.05531,0.000751067,0.000751067,0.000751067
113,1256.01,1.24396,0.74636,1.06193,0.86972,0.80717,0.8638,0.56191,1.24269,0.72256,1.06569,0.000742815,0.000742815,0.000742815
114,1266.99,1.273,0.75929,1.06126,0.8556,0.80498,0.86424,0.56987,1.22065,0.71921,1.05702,0.000734564,0.000734564,0.000734564
115,1277.99,1.245,0.76941,1.05511,0.85809,0.79177,0.86666,0.57388,1.19952,0.71096,1.05033,0.000726312,0.000726312,0.000726312
116,1289.02,1.22485,0.75327,1.02742,0.84268,0.80732,0.86606,0.58151,1.18729,0.72197,1.04364,0.00071806,0.00071806,0.00071806
117,1300.06,1.2533,0.76008,1.04389,0.84998,0.79984,0.86944,0.56895,1.22989,0.71601,1.05556,0.000709809,0.000709809,0.000709809
